,Working_Year,Designation,Experience,Employment_Status,Salary_In_Rupees,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio
223,2021,Data Scientist,MI,FT,2690086.00,IN,IN,M,0
224,2021,Data Scientist,MI,FT,4476262.00,GB,GB,L,50
225,2021,Machine Learning Scientist,SE,FT,17903138.00,US,CA,L,100
226,2021,Principal Data Scientist,EX,CT,33100912.00,US,US,S,100
227,2021,Data Scientist,SE,FT,6981269.00,CA,CA,S,100
228,2021,Data Scientist,MI,FT,7054154.00,DE,DE,L,50
229,2021,Data Scientist,SE,FT,10741883.00,US,US,L,0
230,2021,Data Analyst,SE,FT,5711976.00,CA,CA,M,100
231,2021,Big Data Engineer,EN,FT,1291254.00,IN,IN,L,100
232,2021,ML Engineer,SE,FT,20369792.00,US,US,S,100
233,2021,Director of Data Engineering,SE,FT,15913900.00,US,US,L,100
234,2021,Data Analyst,SE,FT,15913900.00,US,US,L,100
235,2021,Data Architect,MI,FT,14322510.00,US,US,L,100
236,2021,Head of Data Science,MI,FT,8752645.00,US,US,S,0
237,2021,Research Scientist,MI,FT,5077330.00,CA,CA,M,100
238,2021,Data Scientist,MI,FT,3724569.00,ES,ES,M,100
239,2021,Data Scientist,EN,FT,318278.00,VN,VN,M,0
240,2021,Data Engineer,EN,FT,1721645.00,IN,IN,M,50
241,2021,Data Scientist,SE,FT,8250641.00,CA,CA,L,100
242,2021,Data Analyst,MI,FT,6365560.00,US,US,L,100
243,2021,Data Engineer,MI,FT,8752645.00,US,US,L,100
244,2021,Data Scientist,SE,FT,13128968.00,US,US,L,100
245,2021,AI Scientist,EN,FT,1436468.00,IN,AS,S,100
246,2021,Data Engineer,MI,FT,5745873.00,GB,GB,L,50
247,2021,Data Scientist,EN,FT,2915665.00,FR,FR,L,50
248,2021,Data Engineer,MI,FT,963030.00,TR,TR,M,0
249,2021,Data Engineer,SE,FT,7661111.00,GB,GB,L,50
250,2021,Principal Data Analyst,SE,FT,13526815.00,US,US,M,100
251,2021,Data Scientist,MI,FT,9150493.00,US,US,L,50
252,2021,Data Scientist,EN,FT,7161255.00,US,US,S,100
253,2021,Principal Data Engineer,EX,FT,47741700.00,US,US,L,100
254,2021,Data Scientist,EN,FT,2259694.00,IN,IN,M,100
255,2021,Data Analyst,MI,FT,7399964.00,US,US,L,100
256,2021,Big Data Architect,SE,FT,7933318.00,CA,CA,M,50
257,2021,Data Engineer,MI,FT,15913900.00,US,US,L,100
258,2021,Principal Data Scientist,SE,FT,13826155.00,DE,DE,M,100
259,2021,Machine Learning Engineer,SE,FT,14720358.00,US,US,L,50
260,2021,Director of Data Science,EX,FT,11286615.00,DE,DE,L,0
261,2021,Data Scientist,MI,FT,10344035.00,US,US,L,50
