Date,Open,High,Low,Close,Adj Close,Volume
2021-02-11 00:00:00-05:00,244.77999877929688,245.14999389648438,242.14999389648438,244.49000549316406,240.2068634033203,15751100
2021-02-12 00:00:00-05:00,243.92999267578125,245.3000030517578,242.72999572753906,244.99000549316406,240.69808959960938,16561100
2021-02-16 00:00:00-05:00,245.02999877929688,246.1300048828125,242.9199981689453,243.6999969482422,239.43069458007812,26728500
2021-02-17 00:00:00-05:00,241.32000732421875,244.30999755859375,240.94000244140625,244.1999969482422,240.47451782226562,21653500
2021-02-18 00:00:00-05:00,241.8000030517578,243.92999267578125,240.86000061035156,243.7899932861328,240.07078552246094,16925600
2021-02-19 00:00:00-05:00,243.75,243.86000061035156,240.17999267578125,240.97000122070312,237.2938232421875,25262600
2021-02-22 00:00:00-05:00,237.4199981689453,237.92999267578125,232.39999389648438,234.50999450683594,230.93235778808594,36446900
2021-02-23 00:00:00-05:00,230.3300018310547,234.8300018310547,228.72999572753906,233.27000427246094,229.71127319335938,30228700
2021-02-24 00:00:00-05:00,230.00999450683594,235.1999969482422,229.0,234.5500030517578,230.97177124023438,26339700
2021-02-25 00:00:00-05:00,232.0800018310547,234.58999633789062,227.8800048828125,228.99000549316406,225.49656677246094,39542200
2021-02-26 00:00:00-05:00,231.52999877929688,235.3699951171875,229.5399932861328,232.3800048828125,228.83485412597656,37819200
2021-03-01 00:00:00-05:00,235.89999389648438,237.47000122070312,233.14999389648438,236.94000244140625,233.32528686523438,25324000
2021-03-02 00:00:00-05:00,237.00999450683594,237.3000030517578,233.4499969482422,233.8699951171875,230.3021240234375,22812500
2021-03-03 00:00:00-05:00,232.16000366210938,233.5800018310547,227.25999450683594,227.55999755859375,224.08839416503906,34029500
2021-03-04 00:00:00-05:00,226.74000549316406,232.49000549316406,224.25999450683594,226.72999572753906,223.2710418701172,44727800
2021-03-05 00:00:00-05:00,229.52000427246094,233.27000427246094,226.4600067138672,231.60000610351562,228.0667724609375,41872800
2021-03-08 00:00:00-05:00,231.3699951171875,233.3699951171875,227.1300048828125,227.38999938964844,223.9209747314453,35267400
2021-03-09 00:00:00-05:00,232.8800048828125,235.3800048828125,231.6699981689453,233.77999877929688,230.2135009765625,33080500
2021-03-10 00:00:00-05:00,237.0,237.0,232.0399932861328,232.4199981689453,228.87425231933594,29746800
2021-03-11 00:00:00-05:00,234.9600067138672,239.1699981689453,234.30999755859375,237.1300048828125,233.5124053955078,29907600
2021-03-12 00:00:00-05:00,234.00999450683594,235.82000732421875,233.22999572753906,235.75,232.1534423828125,22653700
2021-03-15 00:00:00-04:00,234.9600067138672,235.19000244140625,231.80999755859375,234.80999755859375,231.22779846191406,26034900
2021-03-16 00:00:00-04:00,236.27999877929688,240.05999755859375,235.94000244140625,237.7100067138672,234.0835418701172,28092200
2021-03-17 00:00:00-04:00,236.14999389648438,238.5500030517578,233.22999572753906,237.0399932861328,233.42376708984375,29562100
2021-03-18 00:00:00-04:00,232.55999755859375,234.19000244140625,230.3300018310547,230.72000122070312,227.20018005371094,34833000
